region,q_prev_year,q_prev,date_of_measurement
poland,101.2,100.2,2019-03-31
dolnośląskie,100.8,100.3,2019-03-31
kujawsko-pomorskie,100.9,100.0,2019-03-31
lubelskie,101.0,100.0,2019-03-31
lubuskie,101.4,100.1,2019-03-31
łódzkie,101.2,100.3,2019-03-31
małopolskie,101.5,100.1,2019-03-31
mazowieckie,101.0,100.2,2019-03-31
opolskie,101.2,100.2,2019-03-31
podkarpackie,101.1,100.2,2019-03-31
podlaskie,100.9,100.3,2019-03-31
pomorskie,101.2,100.2,2019-03-31
śląskie,100.5,99.9,2019-03-31
świętokrzyskie,101.2,100.1,2019-03-31
warmińsko-mazurskie,101.0,100.0,2019-03-31
wielkopolskie,101.4,100.0,2019-03-31
zachodniopomorskie,100.9,100.3,2019-03-31
poland,102.4,101.7,2019-06-30
dolnośląskie,102.1,101.5,2019-06-30
kujawsko-pomorskie,102.5,101.9,2019-06-30
lubelskie,102.4,101.7,2019-06-30
lubuskie,102.8,101.7,2019-06-30
łódzkie,102.8,101.8,2019-06-30
małopolskie,102.9,101.8,2019-06-30
mazowieckie,102.2,101.6,2019-06-30
opolskie,102.4,101.6,2019-06-30
podkarpackie,102.4,101.6,2019-06-30
podlaskie,102.4,101.8,2019-06-30
pomorskie,101.8,101.4,2019-06-30
śląskie,102.0,101.8,2019-06-30
świętokrzyskie,102.5,102.0,2019-06-30
warmińsko-mazurskie,102.9,102.3,2019-06-30
wielkopolskie,102.8,101.8,2019-06-30
zachodniopomorskie,102.3,101.5,2019-06-30
poland,102.8,100.3,2019-09-30
dolnośląskie,102.5,100.3,2019-09-30
kujawsko-pomorskie,102.8,100.2,2019-09-30
lubelskie,102.8,100.3,2019-09-30
lubuskie,103.0,100.4,2019-09-30
łódzkie,103.0,100.1,2019-09-30
małopolskie,103.4,100.6,2019-09-30
mazowieckie,102.7,100.1,2019-09-30
opolskie,102.6,100.4,2019-09-30
podkarpackie,102.9,100.3,2019-09-30
podlaskie,102.9,100.4,2019-09-30
pomorskie,102.1,100.1,2019-09-30
